Date	Matrix	Section	RegGrn	FocusGrn	SatGrn	P95Grn	P05Grn	RegRed	FocusRed	SatRed	P95Red	P05Red
3/31/2009 6:32:33 PM	4616443081	A	0.07	0.50	0	41	29	0.00	0.00	0	0	0
3/31/2009 6:38:16 PM	4616443081	B	0.12	0.51	0	41	29	0.00	0.00	0	0	0
3/31/2009 6:44:11 PM	4616443081	C	0.12	0.64	0	558	34	0.00	0.00	0	0	0
3/31/2009 6:50:01 PM	4616443081	D	0.10	0.60	0	335	33	0.00	0.00	0	0	0
3/31/2009 6:55:55 PM	4616443081	E	0.13	0.64	0	508	33	0.00	0.00	0	0	0
3/31/2009 7:02:07 PM	4616443081	F	0.17	0.46	0	451	34	0.00	0.00	0	0	0
3/31/2009 7:07:50 PM	4616443081	G	0.11	0.64	0	446	33	0.00	0.00	0	0	0
3/31/2009 7:13:54 PM	4616443081	H	0.94	0.66	0	939	55	0.00	0.00	0	0	0
3/31/2009 7:19:35 PM	4616443081	I	0.13	0.65	0	509	34	0.00	0.00	0	0	0
3/31/2009 7:25:24 PM	4616443081	J	0.12	0.61	0	396	32	0.00	0.00	0	0	0
3/31/2009 7:31:18 PM	4616443081	K	0.17	0.73	0	479	32	0.00	0.00	0	0	0
3/31/2009 7:37:03 PM	4616443081	L	0.14	0.63	0	500	33	0.00	0.00	0	0	0
