Date	Matrix	Section	RegGrn	FocusGrn	SatGrn	P95Grn	P05Grn	RegRed	FocusRed	SatRed	P95Red	P05Red
3/13/2009 6:45:04 PM	4613710017	B	0.13	0.7	0	704	36	0	0	0	0	0
3/24/2009 5:30:53 PM	4613710052	B	0.14	0.64	0	763	37	0	0	0	0	0
3/17/2009 5:58:00 PM	4613710054	B	0.1	0.67	0	815	36	0	0	0	0	0
3/31/2009 4:04:09 PM	4616443079	B	0.1	0.64	0	604	34	0	0	0	0	0
3/26/2009 1:29:30 PM	4616443093	B	0.12	0.66	0	716	34	0	0	0	0	0
04/07/09 18:28	4616443115	B	0.1	0.64	0	757	37	0	0	0	0	0
3/31/2009 6:38:16 PM	4616443081	B	0.12	0.51	0	41	29	0	0	0	0	0
3/31/2009 7:13:54 PM	4616443081	H	0.94	0.66	0	939	55	0	0	0	0	0
3/26/2009 12:10:56 PM	4616443092	B	0.12	0.66	0	562	34	0	0	0	0	0
04/01/09 16:34	4616443107	A	0.12	0.67	0	559	37	0	0	0	0	0
04/01/09 19:08	4616443136	A	0.15	0.58	0	612	44	0	0	0	0	0
04/01/09 04:50	4616494005	A	0.13	0.59	0	678	38	0	0	0	0	0
